,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
727,collish01,http://www.basketball-reference.com/players/c/collish01.html,Sherron Collins,2011,2011,G,5-11,205,"March 18, 1987",University of Kansas
728,collida01,http://www.basketball-reference.com/players/c/collida01.html,Darren Collison,2010,2017,G,6-0,175,"August 23, 1987","University of California, Los Angeles"
729,collini01,http://www.basketball-reference.com/players/c/collini01.html,Nick Collison,2005,2017,F,6-10,255,"October 26, 1980",University of Kansas
741,conlemi01,http://www.basketball-reference.com/players/c/conlemi01.html,Mike Conley,2008,2017,G,6-1,175,"October 11, 1987",Ohio State University
748,conrowi01,http://www.basketball-reference.com/players/c/conrowi01.html,Will Conroy,2007,2013,G,6-2,195,"December 8, 1982",University of Washington
752,cookbr01,http://www.basketball-reference.com/players/c/cookbr01.html,Brian Cook,2004,2012,F,6-9,234,"December 4, 1980",University of Illinois at Urbana-Champaign
753,cookda02,http://www.basketball-reference.com/players/c/cookda02.html,Daequan Cook,2008,2013,G,6-5,205,"April 28, 1987",Ohio State University
760,cooleja01,http://www.basketball-reference.com/players/c/cooleja01.html,Jack Cooley,2015,2015,F,6-9,260,"April 4, 1991",University of Notre Dame
767,copelch01,http://www.basketball-reference.com/players/c/copelch01.html,Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado
776,cottobr01,http://www.basketball-reference.com/players/c/cottobr01.html,Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence College
783,cousima01,http://www.basketball-reference.com/players/c/cousima01.html,Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986",University of Houston
784,couside01,http://www.basketball-reference.com/players/c/couside01.html,DeMarcus Cousins,2011,2017,C-F,6-11,270,"August 13, 1990",University of Kentucky
786,covinro01,http://www.basketball-reference.com/players/c/covinro01.html,Robert Covington,2014,2017,F,6-9,215,"December 14, 1990",Tennessee State University
791,crabbal01,http://www.basketball-reference.com/players/c/crabbal01.html,Allen Crabbe,2014,2017,G-F,6-6,210,"April 9, 1992",University of California
794,crawfja01,http://www.basketball-reference.com/players/c/crawfja01.html,Jamal Crawford,2001,2017,G,6-5,200,"March 20, 1980",University of Michigan
795,crawfjo01,http://www.basketball-reference.com/players/c/crawfjo01.html,Joe Crawford,2009,2009,F,6-5,210,"June 17, 1986",University of Kentucky
796,crawfjo02,http://www.basketball-reference.com/players/c/crawfjo02.html,Jordan Crawford,2011,2014,G,6-4,195,"October 23, 1988",Xavier University
804,crittja01,http://www.basketball-reference.com/players/c/crittja01.html,Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology
809,croshau01,http://www.basketball-reference.com/players/c/croshau01.html,Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence College
818,crowdja01,http://www.basketball-reference.com/players/c/crowdja01.html,Jae Crowder,2013,2017,F,6-6,235,"July 6, 1990",Marquette University
824,cunnida01,http://www.basketball-reference.com/players/c/cunnida01.html,Dante Cunningham,2010,2017,F,6-8,230,"April 22, 1987",Villanova University
826,cunnija01,http://www.basketball-reference.com/players/c/cunnija01.html,Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University
834,curryed01,http://www.basketball-reference.com/players/c/curryed01.html,Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",
835,curryja01,http://www.basketball-reference.com/players/c/curryja01.html,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University
837,curryse01,http://www.basketball-reference.com/players/c/curryse01.html,Seth Curry,2014,2017,G,6-2,185,"August 23, 1990",Duke University
838,curryst01,http://www.basketball-reference.com/players/c/curryst01.html,Stephen Curry,2010,2017,G,6-3,190,"March 14, 1988",Davidson College
844,dalemsa01,http://www.basketball-reference.com/players/d/dalemsa01.html,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University
846,dampier01,http://www.basketball-reference.com/players/d/dampier01.html,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University
849,daniean01,http://www.basketball-reference.com/players/d/daniean01.html,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University
852,daniema01,http://www.basketball-reference.com/players/d/daniema01.html,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn University
854,danietr01,http://www.basketball-reference.com/players/d/danietr01.html,Troy Daniels,2014,2017,G,6-4,205,"July 15, 1991",Virginia Commonwealth University
864,datomlu01,http://www.basketball-reference.com/players/d/datomlu01.html,Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",
868,davidje01,http://www.basketball-reference.com/players/d/davidje01.html,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",University of Alabama
870,daviebr01,http://www.basketball-reference.com/players/d/daviebr01.html,Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",Brigham Young University
871,davisan02,http://www.basketball-reference.com/players/d/davisan02.html,Anthony Davis,2013,2017,F-C,6-10,253,"March 11, 1993",University of Kentucky
872,davisan01,http://www.basketball-reference.com/players/d/davisan01.html,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",University of Texas at El Paso
874,davisba01,http://www.basketball-reference.com/players/d/davisba01.html,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979","University of California, Los Angeles"
882,davisda01,http://www.basketball-reference.com/players/d/davisda01.html,Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson University
885,davised01,http://www.basketball-reference.com/players/d/davised01.html,Ed Davis,2011,2017,F,6-10,240,"June 5, 1989",University of North Carolina
887,davisgl01,http://www.basketball-reference.com/players/d/davisgl01.html,Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",Louisiana State University
892,davisjo02,http://www.basketball-reference.com/players/d/davisjo02.html,Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",University of Wyoming
901,davispa01,http://www.basketball-reference.com/players/d/davispa01.html,Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State University
904,davisri01,http://www.basketball-reference.com/players/d/davisri01.html,Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",University of Iowa
911,dawkian01,http://www.basketball-reference.com/players/d/dawkian01.html,Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke University
916,dawsoer01,http://www.basketball-reference.com/players/d/dawsoer01.html,Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
920,dayeau01,http://www.basketball-reference.com/players/d/dayeau01.html,Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University
922,decolna01,http://www.basketball-reference.com/players/d/decolna01.html,Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",
927,dedmode01,http://www.basketball-reference.com/players/d/dedmode01.html,Dewayne Dedmon,2014,2017,C,7-0,245,"August 12, 1989",University of Southern California
937,delfica01,http://www.basketball-reference.com/players/d/delfica01.html,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
938,delkto01,http://www.basketball-reference.com/players/d/delkto01.html,Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",University of Kentucky
939,dellama01,http://www.basketball-reference.com/players/d/dellama01.html,Matthew Dellavedova,2014,2017,G,6-4,198,"September 8, 1990",Saint Mary's College of California
945,denglu01,http://www.basketball-reference.com/players/d/denglu01.html,Luol Deng,2005,2017,F,6-9,220,"April 16, 1985",Duke University
948,dentmju01,http://www.basketball-reference.com/players/d/dentmju01.html,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington
952,derozde01,http://www.basketball-reference.com/players/d/derozde01.html,DeMar DeRozan,2010,2017,G,6-7,221,"August 7, 1989",University of Southern California
958,diawbo01,http://www.basketball-reference.com/players/d/diawbo01.html,Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
959,diawaya01,http://www.basketball-reference.com/players/d/diawaya01.html,Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine University
960,diazgu01,http://www.basketball-reference.com/players/d/diazgu01.html,Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",University of Miami
961,dickada01,http://www.basketball-reference.com/players/d/dickada01.html,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978",Gonzaga University
962,dickeka01,http://www.basketball-reference.com/players/d/dickeka01.html,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978",University of Idaho
969,dienetr01,http://www.basketball-reference.com/players/d/dienetr01.html,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette University
970,dienggo01,http://www.basketball-reference.com/players/d/dienggo01.html,Gorgui Dieng,2014,2017,C,6-11,241,"January 18, 1990",University of Louisville
983,dinwisp01,http://www.basketball-reference.com/players/d/dinwisp01.html,Spencer Dinwiddie,2015,2017,G,6-6,200,"April 6, 1993",University of Colorado
984,dioguik01,http://www.basketball-reference.com/players/d/dioguik01.html,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State University
985,diopde01,http://www.basketball-reference.com/players/d/diopde01.html,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
989,dixonju01,http://www.basketball-reference.com/players/d/dixonju01.html,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",University of Maryland
992,doleami01,http://www.basketball-reference.com/players/d/doleami01.html,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",University of Utah
999,doolike01,http://www.basketball-reference.com/players/d/doolike01.html,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",University of Missouri
1001,dorsejo01,http://www.basketball-reference.com/players/d/dorsejo01.html,Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",University of Memphis
1003,doubyqu01,http://www.basketball-reference.com/players/d/doubyqu01.html,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
1008,douglto01,http://www.basketball-reference.com/players/d/douglto01.html,Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986",Florida State University
1009,douglch01,http://www.basketball-reference.com/players/d/douglch01.html,Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis
1012,dowdeza01,http://www.basketball-reference.com/players/d/dowdeza01.html,Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Polytechnic Institute and State University
1017,dragigo01,http://www.basketball-reference.com/players/d/dragigo01.html,Goran Dragic,2009,2017,G,6-3,190,"May 6, 1986",
1018,dragizo01,http://www.basketball-reference.com/players/d/dragizo01.html,Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989",
1023,drewla02,http://www.basketball-reference.com/players/d/drewla02.html,Larry Drew,2015,2015,G,6-2,180,"March 5, 1990","University of California, Los Angeles"
1029,drumman01,http://www.basketball-reference.com/players/d/drumman01.html,Andre Drummond,2013,2017,C,6-11,279,"August 10, 1993",University of Connecticut
1034,dudleja01,http://www.basketball-reference.com/players/d/dudleja01.html,Jared Dudley,2008,2017,F-G,6-7,225,"July 10, 1985",Boston College
1038,duhonch01,http://www.basketball-reference.com/players/d/duhonch01.html,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University
1046,duncati01,http://www.basketball-reference.com/players/d/duncati01.html,Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University
1048,dunlemi02,http://www.basketball-reference.com/players/d/dunlemi02.html,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke University
1052,duprero01,http://www.basketball-reference.com/players/d/duprero01.html,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University
1053,duranke01,http://www.basketball-reference.com/players/d/duranke01.html,Kevin Durant,2008,2017,F-G,6-9,240,"September 29, 1988",University of Texas at Austin
1063,dysonje01,http://www.basketball-reference.com/players/d/dysonje01.html,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",University of Connecticut
1068,earlycl01,http://www.basketball-reference.com/players/e/earlycl01.html,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State University
1072,ebankde01,http://www.basketball-reference.com/players/e/ebankde01.html,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University
1092,edwarjo01,http://www.basketball-reference.com/players/e/edwarjo01.html,John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University
1094,edwarsh01,http://www.basketball-reference.com/players/e/edwarsh01.html,Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",University of Arkansas at Little Rock
1100,eisleho01,http://www.basketball-reference.com/players/e/eisleho01.html,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College
1107,ellinwa01,http://www.basketball-reference.com/players/e/ellinwa01.html,Wayne Ellington,2010,2017,G,6-4,200,"October 29, 1987",University of North Carolina
1118,ellismo01,http://www.basketball-reference.com/players/e/ellismo01.html,Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",
1121,elsonfr01,http://www.basketball-reference.com/players/e/elsonfr01.html,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",University of California
1123,elyme01,http://www.basketball-reference.com/players/e/elyme01.html,Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno"
1126,emmetan01,http://www.basketball-reference.com/players/e/emmetan01.html,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech University
1134,engliki01,http://www.basketball-reference.com/players/e/engliki01.html,Kim English,2013,2013,G,6-6,200,"September 24, 1988",University of Missouri
1137,ennisja01,http://www.basketball-reference.com/players/e/ennisja01.html,James Ennis,2015,2017,F,6-7,210,"July 1, 1990","California State University, Long Beach"
1138,ennisty01,http://www.basketball-reference.com/players/e/ennisty01.html,Tyler Ennis,2015,2017,G,6-3,194,"August 24, 1994",Syracuse University
1140,erdense01,http://www.basketball-reference.com/players/e/erdense01.html,Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
1151,evansje01,http://www.basketball-reference.com/players/e/evansje01.html,Jeremy Evans,2011,2016,F,6-9,200,"October 24, 1987",Western Kentucky University
1152,evansma01,http://www.basketball-reference.com/players/e/evansma01.html,Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978",University of Texas at Austin
1154,evansre01,http://www.basketball-reference.com/players/e/evansre01.html,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa
1155,evansty01,http://www.basketball-reference.com/players/e/evansty01.html,Tyreke Evans,2010,2017,G-F,6-6,220,"September 19, 1989",University of Memphis
1156,ewingda01,http://www.basketball-reference.com/players/e/ewingda01.html,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke University
1158,ewingpa02,http://www.basketball-reference.com/players/e/ewingpa02.html,Patrick Ewing,2011,2011,F,6-8,235,"May 20, 1984",Georgetown University
1159,exumda01,http://www.basketball-reference.com/players/e/exumda01.html,Dante Exum,2015,2017,G,6-6,190,"July 13, 1995",
1160,eyengch01,http://www.basketball-reference.com/players/e/eyengch01.html,Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
1161,ezelife01,http://www.basketball-reference.com/players/e/ezelife01.html,Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University
1166,farieke01,http://www.basketball-reference.com/players/f/farieke01.html,Kenneth Faried,2012,2017,F,6-8,228,"November 19, 1989",Morehead State University
1168,farmajo01,http://www.basketball-reference.com/players/f/farmajo01.html,Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986","University of California, Los Angeles"
1169,farmede01,http://www.basketball-reference.com/players/f/farmede01.html,Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",University of Southern California
1174,favervi01,http://www.basketball-reference.com/players/f/favervi01.html,Vitor Faverani,2014,2014,C,6-11,260,"May 5, 1988",
1175,favorde01,http://www.basketball-reference.com/players/f/favorde01.html,Derrick Favors,2011,2017,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology
1176,fazekni01,http://www.basketball-reference.com/players/f/fazekni01.html,Nick Fazekas,2008,2008,F,6-11,235,"June 17, 1985","University of Nevada, Reno"
1186,felixca01,http://www.basketball-reference.com/players/f/felixca01.html,Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University
1187,felixno01,http://www.basketball-reference.com/players/f/felixno01.html,Noel Felix,2006,2006,F,6-9,225,"October 4, 1981","California State University, Fresno"
1189,feltora01,http://www.basketball-reference.com/players/f/feltora01.html,Raymond Felton,2006,2017,G,6-1,205,"June 26, 1984",University of North Carolina
1193,fernaru01,http://www.basketball-reference.com/players/f/fernaru01.html,Rudy Fernandez,2009,2012,G,6-6,185,"April 4, 1985",
1202,fesenky01,http://www.basketball-reference.com/players/f/fesenky01.html,Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",
1205,fieldla01,http://www.basketball-reference.com/players/f/fieldla01.html,Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford University
1210,finlemi01,http://www.basketball-reference.com/players/f/finlemi01.html,Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",University of Wisconsin
1214,fishede01,http://www.basketball-reference.com/players/f/fishede01.html,Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",University of Arkansas at Little Rock
1216,fitchge01,http://www.basketball-reference.com/players/f/fitchge01.html,Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",University of Kentucky
1219,fizerma01,http://www.basketball-reference.com/players/f/fizerma01.html,Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State University
1227,flynnjo01,http://www.basketball-reference.com/players/f/flynnjo01.html,Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse University
1233,footeje01,http://www.basketball-reference.com/players/f/footeje01.html,Jeff Foote,2012,2012,C,7-0,265,"July 14, 1987",Cornell University
1235,forbega01,http://www.basketball-reference.com/players/f/forbega01.html,Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985",University of Massachusetts Amherst
1243,fordsh02,http://www.basketball-reference.com/players/f/fordsh02.html,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson University
1245,fordtj01,http://www.basketball-reference.com/players/f/fordtj01.html,T.J. Ford,2004,2012,G,6-0,165,"March 24, 1983",University of Texas at Austin
1249,fortsco01,http://www.basketball-reference.com/players/f/fortsco01.html,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",University of Arkansas
1250,fortsda01,http://www.basketball-reference.com/players/f/fortsda01.html,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",University of Cincinnati
1253,fosteje01,http://www.basketball-reference.com/players/f/fosteje01.html,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
1257,fournev01,http://www.basketball-reference.com/players/f/fournev01.html,Evan Fournier,2013,2017,G-F,6-7,205,"October 29, 1992",
1265,foyera01,http://www.basketball-reference.com/players/f/foyera01.html,Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova University
1266,foylead01,http://www.basketball-reference.com/players/f/foylead01.html,Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate University
1267,frahmri01,http://www.basketball-reference.com/players/f/frahmri01.html,Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga University
1268,francst01,http://www.basketball-reference.com/players/f/francst01.html,Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",University of Maryland
1271,frankja01,http://www.basketball-reference.com/players/f/frankja01.html,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University
1274,fraziti01,http://www.basketball-reference.com/players/f/fraziti01.html,Tim Frazier,2015,2017,G,6-1,170,"November 1, 1990",Pennsylvania State University
1278,fredeji01,http://www.basketball-reference.com/players/f/fredeji01.html,Jimmer Fredette,2012,2016,G,6-2,195,"February 25, 1989",Brigham Young University
1280,freeljo01,http://www.basketball-reference.com/players/f/freeljo01.html,Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",
1284,freijma01,http://www.basketball-reference.com/players/f/freijma01.html,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt University
1289,fryech01,http://www.basketball-reference.com/players/f/fryech01.html,Channing Frye,2006,2017,C-F,6-11,255,"May 17, 1983",University of Arizona
1301,gadzuda01,http://www.basketball-reference.com/players/g/gadzuda01.html,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978","University of California, Los Angeles"
1302,gaide01,http://www.basketball-reference.com/players/g/gaide01.html,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield University
1307,gainere01,http://www.basketball-reference.com/players/g/gainere01.html,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",University of Louisville
1308,gainesu01,http://www.basketball-reference.com/players/g/gainesu01.html,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",University of Georgia
1312,gallida01,http://www.basketball-reference.com/players/g/gallida01.html,Danilo Gallinari,2009,2017,F,6-10,225,"August 8, 1988",
1313,gallola01,http://www.basketball-reference.com/players/g/gallola01.html,Langston Galloway,2015,2017,G,6-2,200,"December 9, 1991",Saint Joseph's University
1317,garbajo01,http://www.basketball-reference.com/players/g/garbajo01.html,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
1320,garcifr01,http://www.basketball-reference.com/players/g/garcifr01.html,Francisco Garcia,2006,2015,F-G,6-7,195,"December 31, 1981",University of Louisville
1324,gardnth01,http://www.basketball-reference.com/players/g/gardnth01.html,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",University of Missouri
1333,garneke01,http://www.basketball-reference.com/players/g/garneke01.html,Kevin Garnett,1996,2016,F-C,6-11,240,"May 19, 1976",
1337,garredi02,http://www.basketball-reference.com/players/g/garredi02.html,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University
1343,garripa01,http://www.basketball-reference.com/players/g/garripa01.html,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",University of Notre Dame
1345,gasolma01,http://www.basketball-reference.com/players/g/gasolma01.html,Marc Gasol,2009,2017,C,7-1,255,"January 29, 1985",
1346,gasolpa01,http://www.basketball-reference.com/players/g/gasolpa01.html,Pau Gasol,2002,2017,F-C,7-0,250,"July 6, 1980",
1350,gayru01,http://www.basketball-reference.com/players/g/gayru01.html,Rudy Gay,2007,2017,F,6-8,230,"August 17, 1986",University of Connecticut
1355,geeal01,http://www.basketball-reference.com/players/g/geeal01.html,Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",University of Alabama
1357,gelabmi01,http://www.basketball-reference.com/players/g/gelabmi01.html,Mickael Gelabale,2007,2013,F,6-7,215,"May 22, 1983",
1358,georgde01,http://www.basketball-reference.com/players/g/georgde01.html,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
1360,georgpa01,http://www.basketball-reference.com/players/g/georgpa01.html,Paul George,2011,2017,F,6-9,220,"May 2, 1990","California State University, Fresno"
1368,gibsoda01,http://www.basketball-reference.com/players/g/gibsoda01.html,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",University of Texas at Austin
1374,gibsota01,http://www.basketball-reference.com/players/g/gibsota01.html,Taj Gibson,2010,2017,F,6-9,225,"June 24, 1985",University of Southern California
1375,giddejr01,http://www.basketball-reference.com/players/g/giddejr01.html,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985",University of New Mexico
1376,gildetr01,http://www.basketball-reference.com/players/g/gildetr01.html,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985",Northwestern State University
1377,gilled01,http://www.basketball-reference.com/players/g/gilled01.html,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State University
1387,ginobma01,http://www.basketball-reference.com/players/g/ginobma01.html,Manu Ginobili,2003,2017,G,6-6,205,"July 28, 1977",
1388,giricgo01,http://www.basketball-reference.com/players/g/giricgo01.html,Gordan Giricek,2003,2008,G-F,6-6,210,"June 20, 1977",
1390,gladnmi01,http://www.basketball-reference.com/players/g/gladnmi01.html,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
1398,glynian01,http://www.basketball-reference.com/players/g/glynian01.html,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
1400,goberru01,http://www.basketball-reference.com/players/g/goberru01.html,Rudy Gobert,2014,2017,C,7-1,245,"June 26, 1992",
1404,goldwan01,http://www.basketball-reference.com/players/g/goldwan01.html,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",University of Houston
1405,gomesry01,http://www.basketball-reference.com/players/g/gomesry01.html,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence College
1408,goodedr01,http://www.basketball-reference.com/players/g/goodedr01.html,Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas
1411,goodwar01,http://www.basketball-reference.com/players/g/goodwar01.html,Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",University of Kentucky
1413,gordoaa01,http://www.basketball-reference.com/players/g/gordoaa01.html,Aaron Gordon,2015,2017,F,6-9,220,"September 16, 1995",University of Arizona
1414,gordobe01,http://www.basketball-reference.com/players/g/gordobe01.html,Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",University of Connecticut
1415,gordodr01,http://www.basketball-reference.com/players/g/gordodr01.html,Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990",University of New Mexico
1416,gordoer01,http://www.basketball-reference.com/players/g/gordoer01.html,Eric Gordon,2009,2017,G,6-4,215,"December 25, 1988",Indiana University
1419,gortama01,http://www.basketball-reference.com/players/g/gortama01.html,Marcin Gortat,2008,2017,C-F,6-11,240,"February 17, 1984",
1421,goudean01,http://www.basketball-reference.com/players/g/goudean01.html,Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
1428,grahajo01,http://www.basketball-reference.com/players/g/grahajo01.html,Joey Graham,2006,2011,F,6-7,225,"June 11, 1982",Oklahoma State University
1432,grahast01,http://www.basketball-reference.com/players/g/grahast01.html,Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982",Oklahoma State University
1436,grangda01,http://www.basketball-reference.com/players/g/grangda01.html,Danny Granger,2006,2015,F,6-9,222,"April 20, 1983",University of New Mexico
1438,grantbr01,http://www.basketball-reference.com/players/g/grantbr01.html,Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier University
1444,grantje01,http://www.basketball-reference.com/players/g/grantje01.html,Jerami Grant,2015,2017,F,6-8,210,"March 12, 1994",Syracuse University
1451,grayaa01,http://www.basketball-reference.com/players/g/grayaa01.html,Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh
1463,greenda02,http://www.basketball-reference.com/players/g/greenda02.html,Danny Green,2010,2017,G-F,6-6,215,"June 22, 1987",University of North Carolina
1464,greende01,http://www.basketball-reference.com/players/g/greende01.html,Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton University
1465,greendr01,http://www.basketball-reference.com/players/g/greendr01.html,Draymond Green,2013,2017,F,6-7,230,"March 4, 1990",Michigan State University
1466,greener01,http://www.basketball-reference.com/players/g/greener01.html,Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Polytechnic Institute and State University
1467,greenge01,http://www.basketball-reference.com/players/g/greenge01.html,Gerald Green,2006,2017,G-F,6-7,205,"January 26, 1986",
1468,greenja01,http://www.basketball-reference.com/players/g/greenja01.html,JaMychal Green,2015,2017,F,6-9,227,"June 21, 1990",University of Alabama
1469,greenje02,http://www.basketball-reference.com/players/g/greenje02.html,Jeff Green,2008,2017,F,6-9,235,"August 28, 1986",Georgetown University
1482,greenta01,http://www.basketball-reference.com/players/g/greenta01.html,Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",University of Florida
1484,greenwi01,http://www.basketball-reference.com/players/g/greenwi01.html,Willie Green,2004,2015,G,6-4,200,"July 28, 1981",University of Detroit Mercy
